folio,rubrique,nom,statut_soc,objet,detail_objet,localisation,redevance
"f°10 verso, l.26",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Kateline Leenkens/Leeukens,"joffrouwe, h. Leenkens dochter",1 weghe,-,ten Cruiskene,5 sous
"f°10 verso, l.27",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Kateline Leenkens/Leeukens,"joffrouwe, h. Leenkens dochter",1 weghe,die was Godeverts Neenkens,?,5 sous
"f°10 verso, l.28",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Gosen Moysken,?,1 voerhoede,van eere hofstat die Vranx Bautsoens,in den wech daermen gheet Ten Ramen ob de side te begarden,6 deniers
"f°10 verso, l.29",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Gosen Moysken,?,water?,van goede dat was Vranx Bautsoens van water datmen heet spuilwater,bi den ramen,6 deniers
"f°10 verso, l.20",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Gosen Moysken,?,1 voervanghe,dat Jans tsnoyders/tsvoyders was,op senne,4 deniers
"f°11 recto, l.1",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Heinrec van den Houte ,?,goude,dit was Willem Mergarts,?,2 sous
"f°11 recto, l.2",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Heinrec van den Houte,?,1 dele van eere straten,die was Adaems van der Spreet,ten Cruiskene,8 deniers
"f°11 recto, l.3",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Heinrec van den Houte,?,van goede,dat was Jans tsWalen,?,20 deniers
"f°11 recto, l.3 aussi",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Heinrec van den Houte (initialement),?,goede,dat leet bi Jans van Bolenbeke,?,26 deniers?
"f°11 recto, l.4",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Heinrec van den Houte (initialement),?,goede,omme trijnt 10 boender,te Rode,40 deniers
"f°11 recto, l.5",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Gilijs van der Molen,?,1 voervanghe,-,neven Lauwereis van Hasselghem? Haffelghem?,1 denier
"f°11 recto, l.6",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Jan de bartamekere,die heet gont coer,1 goede/grade,-,ten Cruiskene bi den borne,1 denier
"f°11 recto, l.7",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Jan van Dideghem?,her,goede,dat was Everarts tser claes kindere dat was Ghijsbrecht van Soeplaken/Sceplaken,tobbrucele jeghen den stocke over,"2 deniers et 2,5 chapons"
"f°11 recto, l.8",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Jan van Pede??,?,1 obstalle ,vore heinrec mandemakers huis,vore heinrec mandemakers huis,3 deniers
"f°11 recto, l.9",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Willem Aerds,de voldere,1 deele obstals,vore sine huis,buten tsleus poerten,1 denier
"f°11 recto, l.10",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Willem Aerds,de voldere,1 obstalle ,achter sijn huis,op de Senne,1 denier
"f°11 recto, l.11",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Jan Pillen,?,1 voerhoede,sire hofstat,bi den Ramen,1 denier
"f°11 recto, l.12",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Vrancke dinghelsche,dinghelsche?,1 deele obstals,vore sine huis,?,3 deniers
"f°11 recto, l.13",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Magriete ?uten Valcke?,"joffrouwe, amelrex dochter uten valcke",1 voerhoede,hare hofstat,tuschen beide de brugghen bi Molenbeke,4 deniers
"f°11 recto, l.14",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Han de Coninc,de jonghen,1 hofstat,-,op de Senne bi der burgghen,1 denier
"f°11 recto, l.15 (barré)",Vore der over molen poerte ende buten den wikete ende op de heergraecht,[Magriete van Bodeghem],[de beghine],[1 pute],[vore hare huis die was Seghers van der Hallen],[?],[3 deniers]
"f°11 recto, l.16",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Beatrijs van Molenbeke,?,1 voerhoede,hare hofstat,in den hoec,1 denier
"f°11 recto, l.17",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Heinrec de Poertere,de potghietere,lande,-,te alsenberghe,7 deniers
"f°11 recto, l.18",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Jan Beke,de ververe,1 voerhoede,eere hofstat,in den hoec bi der overmolen,2 deniers 
"f°11 recto, l.19",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Jan Beke,de ververe,ere bardessen,achter sijn huise in den hoecht,"in  Senne, achter sijn huise in den hoecht",7 deniers
"f°11 recto, l.20",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Aerd Aerlbrecht,de voldere,1 voerhoede,sire hofstat,buten tslews poerte,1 denier
"f°11 recto, l.21",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Godevert van Brabant,de moldere,1 voerhoede,sire hofstat,ter Overmolen,1 denier
"f°11 recto, l.22",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Godevert van Brabant,de moldere,1 tseetseirten?,-,ter Cammen,1 denier
"f°11 recto, l.23",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Jan uten den ?Slotele?,de briedere,1 overe ochte velt,achter sine huis,op de Senne,1 denier
"f°11 recto, l.24",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Willem jans sone van der straten van Bardeghem,.,sinen mure,-,in Senne gheset bi der overmolen poerte,3 deniers
"f°11 recto, l.25",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Heinrec Stoutcrane ,?,van der helecht van eere graecht van 1 obstalle,vore sijn huis,in de spennincstrate bi den ramen,2 deniers
"f°11 recto, l.26",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Jan van Anderlecht,?,1 voerhoede,sire hofstat,bi den molensteen,1 denier
"f°11 recto, l.27",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Heinrec Poeghe,?,eere graecht,achter sijn hof,?,obole
"f°11 recto, l.28",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Wide Boete,?,eere graecht,achter sijn hof van nuws,daer,obole
"f°11 recto, l.29",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Godevert van Machle,?,1 obstalle ,die cleine es op de side van sinen huis,?,1 denier
"f°11 recto, l.30",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Wouter van Everne,tsnoyerd?,1 tseexenen,-,buten der overmolen poerte in de senne,2 deniers
"f°11 recto, l.31",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Peter van Puthem,?,1 voervanghe,-,buten der overmolen poerte ane de muir,1 denier
"f°11 verso, l.1",Vore der over molen poerte ende buten den wikete ende op de heergraecht,de kindere van meldter ,?,grede?,van Jan Lancboets,?,.I ½ / ¼ ?.   Deniers
"f°11 verso, l.1 aussi",Vore der over molen poerte ende buten den wikete ende op de heergraecht,kindere vandermeeren,?,vanden selven goede,-,-,.I ½ / ¼ ?. Denier
"f°11 verso, l.2",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Heilwijch Scoeps,?,1 voerhoede,van hare hofstat,ter driesmolen,1 denier
"f°11 verso, l.3",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Willem van Duist ,?,1 pleine lands,van goede dat was Heinrec van denborch van 1 pleine lands..,bi der molen bi den mure buten dovermolen poerte,9 deniers
"f°11 verso, l.4",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Margriete Yservielders/Ysernielders,olivijr dochter van nyneve,goede?,"""van goede heinrec van den borch""",bi den borch bi den molen bi den mure buten der overmolen poerte,"4,? Deniers"
"f°11 verso, l.5",Vore der over molen poerte ende buten den wikete ende op de heergraecht,de vrouwe van melijn,?,vanden selven goede,-,-,"1,3? Denier"
"f°11 verso, l.6",Vore der over molen poerte ende buten den wikete ende op de heergraecht,de vrouwe van melijn ou Magriete Yserv/nielders?,?,1 voerhoede,van eere hofstat ,op gheensiden van der brugghen buten der overmolen poerte,3 deniers
"f°11 verso, l.7",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Johanes de Hulst,?,de fronter,van sire hofstat,buten der overmolen poerte tuschen timmermans molen ende de brugghe,3 deniers
"f°11 verso, l.8",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Vrancke Wiltsoen,?,1 voervanghe,-,buten drijschmolen wiket,1 denier
"f°11 verso, l.9",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Willem Averecht/Anerecht,?,1 voervanghe,),buten drijsmolen wiket,1 denier
"f°11 verso, l.10",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Mathijs van Cortenberghe,?,1 voerhoede,-,ten Cruskene bi der burgghen,18 deniers
"f°11 verso, l.11",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Jan van den obstalle?,?,1 tseexsenne & der cammen,-,in den molen die in de Senne steet ane de verste brugghe,1 denier
"f°11 verso, l.12",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Lauwareis de Grave,?,1 voervanghe ,-,van vore tote achter neven tsleus wikette,1 denier
"f°11 verso, l.14",in sente gorex prochie,De kercke van sente gorex,kercke,eere hofstat,-,achter den coer,1 denier
"f°11 verso, l.15",in sente gorex prochie,de husarmen van sente Gorex,husarmen,goede,-,te Jetterbeke,6 deniers et 1 chapon
"f°11 verso, l.16",in sente gorex prochie,de husarmen van sente Gorex,husarmen,eere hofstat,die Jans was cupers,ter Capellen,obole
"f°11 verso, l.17",in sente gorex prochie,de husarmen van sente Gorex,husarmen,eere hofstat,die was Jans van der Hameyde tswevers,"tobbrucele, bi der slijpmolen","4 sous, 1 denier, 2 chapons"
"f°11 verso, l.18",in sente gorex prochie,de husarmen van sente Gorex,husarmen,der molen?,diemen heet slijpolen,daer = tobbrucele,4 sous 
"f°11 verso, l.18 aussi",in sente gorex prochie,de husarmen van sente Gorex,husarmen,-,van nuws,-,6 deniers  
"f°11 verso, l.19",in sente gorex prochie,de husarmen van sente Gorex,husarmen,eere hofstat ,die hilt Jan Claes Maroten,in den wech bi den coudencloester,"3,5 deniers et 1/3 (tfirendeel) d'un chapon"
"f°11 verso, l.20",in sente gorex prochie,Jan Adilien,?,1 hofstat,-,gheleghen tusschen de muis huis ende Jan Barts Erne/erve,4 sous
"f°11 verso, l.21",in sente gorex prochie,Seghere van Sente Gorex,?,eere hofstat,vore sine huis,tusschen Gilijs Loeseip ende Willem zuets?,6 sous
"f°11 verso, l.22",in sente gorex prochie,Gheroy van der Hallen? Ou Mathijs van Losere?,?,1/2 boender lands & 1 dachwant broex,van goede dat was Gosens tser Gosens sone ts Seghers van Heinrec weghen van Ossenem godeverts kinder ,?,18 deniers
"f°11 verso, l.23",in sente gorex prochie,Gheroy van der Hallen,?,1 water,dat was Aerds van den Rade,te Carlevelt,3 sous
"f°11 verso, l.24",in sente gorex prochie,Mathijs van Losere,?,1 dachande beems,wilen was Gilijs Godeverts die heet de ?crank?,tossenem,6 deniers
"f°11 verso, l.25",in sente gorex prochie,Jan van Buseghem,?,eere hofstat,van goede dat was Jane Metterscachte van eere hofstat die was Gosen Seghers vore sine huis gheleghen,?,10 sous
"f°11 verso, l.26",in sente gorex prochie,Jan van Buseghem ou Alijt ver van Buseghem,?,3 hofstaden,van Marien tsleus gode,die ligghen ane de Walsche plasche,"3,5? Sous 2 chapons"
"f°11 verso, l.27",in sente gorex prochie,Seghere med den scachte/stachte,?,van sinen goede van lande van water van beemden ,daer omtrent gheleghen,te Mortenbeke,11 sous 11 deniers
"f°11 verso, l.28",in sente gorex prochie,"""Jan vrouwen sone""",de voldere,1 aneworpe,-,vore op den Senne ende achter op de senne,3 deniers
"f°11 verso, l.29",in sente gorex prochie,Jan Ruse,de voldere,1/2 voervanghe,op de senne,vore ende achter buten tsleeus wijckete,3 deniers
"f°11 verso, l.30",in sente gorex prochie,Jan Lauwereis,?,1 voerwanghe,acgter sijn huis,op de Senne achter de Wiel,1 denier
"f°11 verso, l.31",in sente gorex prochie,Willem van der Goten,?,1 voervanghe,van sinen huis,in daemstrate aldernaest den wech der stoven weerd,1 hellinc
"f°11 verso, l.32",in sente gorex prochie,Jan van Marcke ,?,1 voervanghe,-,in steenstrate naest tser Willemes van Coeckelberghe,3 deniers
"f°11 verso, l.33",in sente gorex prochie,Oste van den Vivere,de verwere,1 bardensche,-,in Senne neven Lambrecht tsedeleren,3 sous 3 chapons
"f°11 verso, l.34",in sente gorex prochie,Jan van Endeghem?Oudeghem?,?,1 voervanghe,-,Te Cruskene bi Seghers Quarelmakers,3 deniers
"f°11 verso, l.35",in sente gorex prochie,Gilijs van Galmard,?,1 voervanghe,-,Te Cruskene bi Seghers Quarelmakers,3 deniers
"f°11 verso, l.36",in sente gorex prochie,"""Jan Seghers sone van den Cruskene "" : Jan van den cruskene, sone van Seghers van den Cruskene",,1 overvanghe,-,Te Cruskene ,3 deniers
"f°12 recto, l.1",in sente gorex prochie,Kerstine tslozen,ver ; gilijs tslozen werdinne was,eere hofstat,jeghen hare woninghe,op de Senne,10 sous 1 denier
"f°12 recto, l.2",in sente gorex prochie,Kerstine tslozen,ver ; gilijs tslozen werdinne was,1 obstalle,vore hare huis,ten Cruiskene bi der hameyden,6 deniers
"f°12 recto, l.3",in sente gorex prochie,Kerstine tslozen,ver ; gilijs tslozen werdinne was,1 drijsche,-,te cureghem?,12 deniers
"f°12 recto, l.4",in sente gorex prochie,Heinrec Seu?,?,1 mure,"van goede dat was Gosens van Meldert, [mure] die steet vore sine huis",?,1 denier
"f°12 recto, l.5",in sente gorex prochie,Jan Joete sone vranx jotten soene?,?,1 voerhoede ,sire hofstat bi Willem Haexlines? van goede dat was Gosens van Vilvoerd tsfeschers,?,1 denier
"f°12 recto, l.6",in sente gorex prochie,Gilijs Coele,?,1 weddewater,vore sine hof,ter alfenen,3 deniers
"f°12 recto, l.7",in sente gorex prochie,Aerd van den Broecke,?,van steinen graden,die staen vore sine huis,bi den Overmolen poerte,1 denier
"f°12 recto, l.8",in sente gorex prochie,Gherard van Cockelberghe,?,1 hofstat,die was Jans Oliviers die wilen was Jans van Ransvoert / van goede dat was Gilijs Boets te Laken,in de volderstrate,1 denier
"f°12 recto, l.8 aussi",in sente gorex prochie,Gherard van Cockelberghe,?,1 dachwande beems,dat was Lijsbetten van Carlevelt,N,5 deniers
"f°12 recto, l.9",in sente gorex prochie,Gherard van Cockelberghe,?,2 viveren,van goede dat was Willems van Cockelberghe dat was tser gherarts tsridders van cockelberghe,in neckersdal,2 deniers
"f°12 recto, l.10",in sente gorex prochie,Gherard van Cockelberghe,?,5 bonder/bouder beemds,?,die ligghen ter Vlest,5 deniers
"f°12 recto, l.11",in sente gorex prochie,Lijsbeth ende Hertewijc, Godeverds Scachuders/Scathuders dochter tsbrieders,1 hofstat,?,achter de moutmolen,1 denier
"f°12 recto, l.12",in sente gorex prochie,Lijsbeth ende Hertewijc?,-,haeren goede,-,te Alsenberghe,13 deniers
"f°12 recto, l.12 aussi",in sente gorex prochie,Lijsbeth ende Hertwijc?,-,noch?,"""noch daer van Lijsbette Haex goede""","""daer"" : alsenberghe","10,5 deniers"
"f°12 recto, l.13",in sente gorex prochie,Lijsbeth ende Hertewijc?,-,eere waterleden van den condute,?,uter Sennen in hare camme van nuws,2 deniers
"f°12 recto, l.14",in sente gorex prochie,Lijsbeth ende Hertewijc?,-,"""noch""",van Jans Aelbrechts goede van den meyghen bosche,vanden meysche bosche?,3 deniers
"f°12 recto, l.15",in sente gorex prochie,Lijsbet ende Hertewijc?,-,1 voerhoede ,hare hofstat,int Rusbroec of hlafbunder,12 deniers
"f°12 recto, l.16",in sente gorex prochie,Lijsbet ende Hertewijc?,-,"van goede""",dat was Jan Aelbrechts,?,"7,5 deniers"
"f°12 recto, l.16 aussi",in sente gorex prochie,Lijsbet ende Hertewijc?,-,1 dele boschs,dat was Adaems Scachuders/Scathuders?,?,"1,5 deniers"
"f°12 recto, l.17",in sente gorex prochie,Lijsbet ende Hertewijc?,-,"van goede""",dat was Yden Scahuders?,?,12 deniers
"f°12 recto, l.17 aussi",in sente gorex prochie,Lijsbet ende Hertewijc?,-,van godde,dat was Gilijs Quadevoers,?,3 deniers
"f°12 recto, l.18",in sente gorex prochie,Lijsbet ende Hertewijc?,-,eere hofstat,die wilen was Godeverts Costers,?,8 deniers
"f°12 recto, l.19",in sente gorex prochie,Lijsbeth ende Hertewijc?,-,1 huse,-,vore de moutmolen,"7,5 lb (liber/livre)"
"f°12 recto, l.19 aussi",in sente gorex prochie,Lijsbeth ende Hertewijc?,-,1 voerhoede ,van den selven huis,?,1 denier
"f°12 recto, l.20",in sente gorex prochie,Gheldolf Meerte,-,van nuws van 3 voeten,-,op den hoernoc in de masselstrate,1 denier coelschen?
"f°12 recto, l.21",in sente gorex prochie,Gheldolf Meerte/Jan van Meldert,-,1 voerhoede ,vore sine huis,bi adaems,9 deniers
"f°12 recto, l.22",in sente gorex prochie,Gheldolf Meerte/Jan van Meldert,-,eere hofsat,die was wilen Heinrex Weemoes,?,1 denier coelschen?
"f°12 recto, l.23",in sente gorex prochie,Gheldolf Meerte/Jan van Meldert,?,? Eere hofstat?,achter sine huis,ochte op de side totter sennen,9 deniers
"f°12 recto, l.24 (barré)",in sente gorex prochie,[Gheldolf Meerte?],?,[1 aneworpe],[-],[bi den calt ossene  bi den wijngart],[1 denier]
"f°12 recto, l.25",in sente gorex prochie,? Jan van Meldert?,?,?,achter sine hof,op de Senne bi den Wijngaert,9 deniers
"f°12 recto, l.26 (barré)",in sente gorex prochie,[?],[-],[eere hofstat],[-],[vore der capellen poerte],[2 deniers]
"f°12 recto, l.27",in sente gorex prochie,Jan van Meldert?,?,3 dachwande lands,van goede dat was Jans van Asche vans 3 dachwande lands wilen gosens van Vilvoerde,ane de steyne brugghe,15 deniers
"f°12 recto, l.28 (barré)",in sente gorex prochie,[?],[?],[1 voerhoede van 1 oestalle],[?],[bi de steen poerte van nuws],[1 denier]
"f°12 recto, l.29",in sente gorex prochie,?,?,1 aneworpe,daermen gheet de Laken,bi der brugghen,"1,5 deniers"
"f°12 recto, l.30 (barré)",in sente gorex prochie,[?],[?],[aneworpe],[die was Gherems Jans kinder uten Nuwenhuis],[daer],1 deniers
"f°12 recto, l.31",in sente gorex prochie,Claes Battailie van Roys,?,1 voerhoede sire hofstat,"daer hi in woent, van her goede uten haecke dbrieder",?,obole
"f°12 recto, l.32",in sente gorex prochie,Jan Colay,?,1 aneworpe,die was Gode tslozen ,bi der Sennen bi Gherart Meerts,2 deniers
"f°12 recto, l.33",in sente gorex prochie,Jacob de wilde in galoys woent?,?,1 voerhoede van 3 hofstaden,-,gheleghen tuschen den drake ende Heinrec Costers hofstat,1 denier
"f°12 recto, l.34",in sente gorex prochie,Willem Haemans,?,1 pletskene,-,achter den molensteen buten der overmolen brugghe […] op den Zenne achter,2 deniers
"f°12 verso, l.1",in sente gorex prochie,Zoete van Bullenberghe,"joffrouwe, Inghbrechts Neenkens dochter",?,-,?,1 denier
"f°12 verso, l.1 aussi",in sente gorex prochie,Zoete van Bullenberghe,"joffrouwe, Inghbrechts Neenkens dochter",1 brugghen,-,"achter sijn huis over sennen ""sonder boven te betenmenne?""",1 denier
